ind,se_bc_days,se_bc_area
pang011,57,0.22
pang012,57,0.22
pang013,44,0.22
pang014,57,0.22
pang015,70,0.22
pang016,85,0.22
pang017,57,0.22
pang018,85,0.22
pang019,44,0.22
pang020,57,0.22
