ind,se_obs_h
MYDA01,4.166666666666667
MYDA02,4.583333333333333
MYDA03,6
MYDA04,5
MYDA05,4
MYDA06,5
MYDA07,4.166666666666667
MYDA08,5.15
MYDA09,4.333333333333333
MYDA10,5.083333333333333
MYDA11,4.416666666666667
MYDA12,4
MYDA13,5.233333333333333
MYDA14,3.9166666666666665
MYDA15,5.166666666666667
MYDA16,4.333333333333333
MYDA17,5
MYDA18,4.083333333333333
MYDA19,5.15
MYDA20,4.066666666666666
MYDA21,5
MYDA22,5
MYDA23,5
MYDA24,5
MYDA31,4.466666666666667
MYDA25,4.65
MYDA26,5.166666666666667
MYDA27,4
MYDA28,5
MYDA29,3.3333333333333335
MYDA30,5.083333333333333
MYDA32,5
MYDA33,5
