ind,se_obs_prop_tree,se_obs_min,se_obs_h
NC02,1,180,3
NC06,1,180,3
NC14,1,180,3
NC17,1,180,3
NC04,1,180,3
NC08,1,180,3
NC15,1,180,3
NC18,1,180,3
NC10,1,144,2.4
NC12,1,180,3
NC16,1,180,3
NC20,1,180,3
NC21,1,180,3
NC22,1,180,3
NC23,1,180,3
NC01,1,180,3
NC05,1,180,3
NC09,1,180,3
NC11,1,180,3
NC13,1,180,3
NC03,1,180,3
NC07,1,180,3
NC19,1,180,3
