ind,se_cam_h
T91,48
T92,48
T93,48
T94,48
T95,48
T96,48
T97,48
T98,48
T99,48
T100,48
T101,48
T102,48
T103,48
T105,48
T106,48
T107,48
T108,48
T109,48
T110,48
T111,48
T112,48
T113,48
T114,48
T115,48
T116,48
T117,48
T118,48
T120,48
