ind,se_bc_days,se_bc_area
olan001,252,0.44
olan002,252,0.44
olan003,239,0.44
olan004,252,0.44
olan005,252,0.44
olan006,252,0.44
olan007,252,0.44
olan008,252,0.44
olan009,252,0.44
olan010,252,0.44
olan011,239,0.44
olan012,239,0.44
olan013,239,0.44
olan014,239,0.44
olan015,239,0.44
olan016,239,0.44
olan017,239,0.44
olan018,239,0.44
olan019,239,0.44
olan020,239,0.44
