ind,se_cam_h
T61,48
T62,48
T63,48
T64,48
T65,48
T66,48
T67,48
T68,48
T69,48
T70,48
T71,48
T72,48
T73,48
T74,48
T75,48
T76,48
T77,48
T78,48
T79,48
T80,48
T81,48
T82,48
T83,48
T84,48
T85,48
T86,48
T87,48
T88,48
T89,48
T90,48
