ind,se_obs_h
PLEP01,2.5
PLEP03,2.5
PLEP04,2.5
PLEP05,2.5
PLEP06,1.5
PLEP07,2.5
PLEP08,2.3
PLEP09,2.5
PLEP10,2.6
PLEP12,2
